"survey_offers","survey_plans","survey_salary","fulltimejob","survey_internships","major1"
"1","accepted fulltime job",45000,1,"2","Finance"
NA,"continuing education",NA,0,"1","Finance"
"0","continuing education",NA,0,"1","Marketing"
"0","accepted fulltime job",NA,1,"2","Human Capital Mgmt& Leadership"
"2","accepted fulltime job",65000,1,"4","Supply Chain & Operations Mgmt"
"0","seeking employment",NA,0,"2","Marketing"
"1","accepted fulltime job",56000,1,"2","Business Analytics"
"1","accepted fulltime job",63000,1,"2","Finance"
"2","accepted fulltime job",40000,1,"1","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",52000,1,"3","Accountancy"
"0","continuing education",NA,0,"0","Accountancy"
"2","accepted fulltime job",75000,1,"2","Information Systems"
"1","accepted fulltime job",65000,1,"2","Finance"
"1","accepted fulltime job",52000,1,"1","Accountancy"
"1","accepted fulltime job",59000,1,"2","Finance"
NA,"accepted fulltime job",NA,1,"2","Finance"
"2","accepted fulltime job",54000,1,"1","Accountancy"
"1","accepted fulltime job",59000,1,"2","Finance"
"3","accepted fulltime job",58000,1,"2","Supply Chain & Operations Mgmt"
"0","seeking employment",NA,0,"0","Marketing"
"3","accepted fulltime job",60000,1,"2","Finance"
NA,"accepted fulltime job",52500,1,"1","Finance"
"3","accepted fulltime job",70000,1,"1","Finance"
"4","accepted fulltime job",77000,1,"1","Finance"
"1","accepted fulltime job",63000,1,"1","Marketing"
"2","accepted fulltime job",62000,1,"3","Accountancy"
NA,"seeking employment",NA,0,"3","Finance"
"0","continuing education",NA,0,"0","Finance"
"na","continuing education",NA,1,"0","Finance"
"1","accepted fulltime job",17000,1,"0","Accountancy"
"1","accepted fulltime job",55000,1,"2","Finance"
"2","accepted fulltime job",50000,1,"0","Marketing"
NA,"seeking employment",NA,0,"0","Marketing"
"2","accepted fulltime job",40000,1,"2","Marketing"
"0","accepted fulltime job",50000,1,"2","Finance"
"1","accepted fulltime job",56000,1,"1","Accountancy"
NA,"accepted fulltime job",NA,1,"3","Finance"
"2","accepted fulltime job",60000,1,"0","Finance"
NA,"accepted fulltime job",NA,1,"3","Finance"
"1","accepted fulltime job",65000,1,"1","Marketing"
"1","accepted fulltime job",54000,1,"1","Accountancy"
NA,"accepted fulltime job",47000,1,"1","Finance"
NA,"accepted fulltime job",50000,1,"2","Marketing"
"0","accepted fulltime job",NA,1,"1","Marketing"
"1","accepted fulltime job",62000,1,"2","Marketing"
"0","seeking employment",NA,0,"2","Marketing"
"1","accepted fulltime job",55000,1,"4","Accountancy"
"1","accepted fulltime job",65000,1,"2","Business Analytics"
"1","accepted fulltime job",55000,1,"2","Accountancy"
NA,"seeking employment",NA,0,"0","Finance"
"1","accepted fulltime job",70000,1,"2","Entrepreneurship"
NA,"accepted fulltime job",55000,1,"1","Marketing"
"1","accepted fulltime job",53000,1,"2","Finance"
"1","accepted fulltime job",50000,1,"2","Marketing"
"0","seeking employment",NA,0,"2","Finance"
"2","seeking employment",NA,1,"2","Marketing"
"2","accepted fulltime job",73000,1,"2","Business Economics"
"2","accepted fulltime job",38000,1,"1","Marketing"
"1","accepted fulltime job",45000,1,"0","Finance"
"2","accepted fulltime job",60000,1,"3","Human Capital Mgmt& Leadership"
NA,"accepted fulltime job",60000,1,"4","Finance"
NA,"accepted fulltime job",67000,1,"1","Finance"
"0","accepted parttime job",NA,0,"2","Marketing"
"6","accepted fulltime job",40000,1,"2","Marketing"
"1","seeking employment",NA,1,"2","Finance"
"1","accepted fulltime job",55000,1,"2","Finance"
"1","other",NA,1,"2","Management and Leadership"
"0","continuing education",NA,0,"2","Accountancy"
NA,"accepted fulltime job",65000,1,"2","Accountancy"
NA,"accepted fulltime job",NA,1,"3","Accountancy"
"1","accepted fulltime job",65000,1,"2","Accountancy"
"0","seeking employment",NA,0,"1","Accountancy"
"0","seeking employment",NA,0,"2","Business Economics"
NA,"accepted fulltime job",NA,1,"2","Marketing"
"0","seeking employment",NA,0,"3","Finance"
"1","accepted fulltime job",68000,1,"2","Supply Chain & Operations Mgmt"
"1","seeking employment",NA,1,"2","Marketing"
"1","accepted fulltime job",61000,1,"3","Marketing"
"1","accepted fulltime job",60000,1,"3","Finance"
"3","accepted fulltime job",75000,1,"1","Finance"
"1","accepted fulltime job",41000,1,"0","Marketing"
NA,"continuing education",NA,0,"0","Accountancy"
"1","accepted parttime job",30000,1,"0","Marketing"
"1","accepted fulltime job",58000,1,"2","Information Systems"
"1","accepted fulltime job",53000,1,"2","Supply Chain & Operations Mgmt"
NA,"accepted fulltime job",35600,1,"3","Marketing"
"4","accepted fulltime job",50000,1,"1","Marketing"
"1","accepted fulltime job",69000,1,"3","Accountancy"
"2","accepted fulltime job",54000,1,"2","Finance"
"0","seeking employment",NA,0,"0","Marketing"
"2","accepted fulltime job",35000,1,"0","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",50000,1,"2","Finance"
"3","accepted fulltime job",73000,1,"2","Finance"
"5","accepted fulltime job",50000,1,"2","Marketing"
"3","accepted fulltime job",41000,1,"2","Marketing"
"0","accepted fulltime job",NA,1,"1","Accountancy"
"1","military service",NA,1,"0","Marketing"
"1","accepted fulltime job",60000,1,"1","Accountancy"
"1","accepted fulltime job",55000,1,"2","Management and Leadership"
"3","accepted fulltime job",62000,1,"1","Accountancy"
"1","accepted fulltime job",NA,1,"1","Human Capital Mgmt& Leadership"
"2","accepted fulltime job",55000,1,"1","Supply Chain & Operations Mgmt"
NA,"accepted fulltime job",NA,1,"0","Marketing"
"2","accepted fulltime job",75000,1,"2","Human Capital Mgmt& Leadership"
"1","accepted fulltime job",60000,1,"2","Marketing"
"1","accepted fulltime job",73000,1,"1","Accountancy"
"2","accepted fulltime job",35000,1,"0","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",52000,1,"1","Accountancy"
"1","accepted fulltime job",52500,1,"3","Marketing"
NA,"other",NA,0,"0","Information Systems"
NA,"accepted fulltime job",53000,1,"1","Accountancy"
"3","accepted fulltime job",45000,1,"2","Finance"
"1","accepted fulltime job",53000,1,"2","Finance"
"3","accepted fulltime job",54000,1,"1","Accountancy"
"2","accepted fulltime job",65000,1,"2","Finance"
NA,"accepted fulltime job",NA,1,"2","Finance"
"1","accepted fulltime job",57000,1,"1","Accountancy"
"2","accepted fulltime job",72000,1,"3","Finance"
"1","accepted fulltime job",40000,1,"1","Accountancy"
NA,"accepted fulltime job",NA,1,"3","Marketing"
NA,"accepted fulltime job",NA,1,"2","Business Economics"
"2","accepted fulltime job",45000,1,"1","Marketing"
"1","accepted fulltime job",70000,1,"5","Finance"
"1","accepted fulltime job",58000,1,"2","Marketing"
"1","accepted fulltime job",50000,1,"1","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",62000,1,"2","Finance"
"1","accepted fulltime job",75000,1,"2","Supply Chain & Operations Mgmt"
NA,"accepted fulltime job",54950,1,"1","Supply Chain & Operations Mgmt"
"5","accepted fulltime job",56700,1,"2","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",67000,1,"1","Supply Chain & Operations Mgmt"
"0","seeking employment",NA,0,"2","Finance"
"2","accepted fulltime job",24960,1,"1","Marketing"
NA,"accepted fulltime job",NA,1,"3","Information Systems"
"1","accepted fulltime job",65000,1,"2","Finance"
"1","accepted fulltime job",55000,1,"2","Finance"
"2","accepted fulltime job",50000,1,"2","Supply Chain & Operations Mgmt"
"0","seeking employment",NA,0,"2","Marketing"
"0","seeking employment",NA,0,"3","Finance"
"1","accepted fulltime job",60000,1,"2","Information Systems"
"3","accepted fulltime job",75000,1,"1","Marketing"
"1","accepted fulltime job",63000,1,"1","Finance"
"1","accepted fulltime job",NA,1,"1","Marketing"
"3","accepted fulltime job",55000,1,"2","Finance"
"0","accepted fulltime job",NA,1,"0","Marketing"
"1","accepted fulltime job",30000,1,"0","Finance"
"0","continuing education",NA,0,"0","Accountancy"
"2","continuing education",NA,1,"0","Finance"
"1","accepted fulltime job",63000,1,"2","Marketing"
"1","accepted fulltime job",63000,1,"2","Accountancy"
"2","accepted fulltime job",55000,1,"2","Marketing"
"3","accepted fulltime job",45000,1,"1","Finance"
"1","accepted fulltime job",63000,1,"1","Finance"
"1","accepted fulltime job",55000,1,"1","Management and Leadership"
"2","accepted fulltime job",60000,1,"1","Finance"
"2","accepted fulltime job",70000,1,"2","Marketing"
NA,"seeking employment",NA,0,"0","Business Economics"
"1","accepted fulltime job",80000,1,"1","Business Economics"
"1","accepted fulltime job",55000,1,"3","Finance"
NA,"accepted fulltime job",58000,1,"1","Marketing"
NA,"accepted fulltime job",58000,1,"0","Accountancy"
"2","accepted fulltime job",62500,1,"2","Finance"
"1","accepted fulltime job",61000,1,"1","Accountancy"
"1","seeking employment",NA,1,"1","Supply Chain & Operations Mgmt"
"2","accepted fulltime job",50000,1,"1","Marketing"
NA,"accepted fulltime job",75000,1,"2","Finance"
"1","accepted fulltime job",75000,1,"2","Finance"
"1","accepted fulltime job",63000,1,"1","Finance"
"0","continuing education",NA,0,"1","Marketing"
"2","accepted fulltime job",60000,1,"1","Finance"
"1","accepted fulltime job",50000,1,"3","Finance"
NA,"accepted fulltime job",44000,1,"2","Finance"
"1","accepted fulltime job",51000,1,"1","Accountancy"
"1","accepted fulltime job",NA,1,"1","Finance"
"0","accepted fulltime job",NA,1,"2","Marketing"
"1","accepted fulltime job",60000,1,"3","Human Capital Mgmt& Leadership"
"1","accepted fulltime job",52000,1,"3","Marketing"
NA,"seeking employment",NA,0,"2","Supply Chain & Operations Mgmt"
"3","accepted fulltime job",45000,1,"2","Finance"
"1","accepted fulltime job",55000,1,"2","Accountancy"
"7","accepted fulltime job",38000,1,"3","Marketing"
"1","accepted fulltime job",40000,1,"2","Marketing"
"0","accepted fulltime job",NA,1,"1","Business Economics"
"1","continuing education",NA,1,"1","Finance"
"1","accepted fulltime job",56000,1,"2","Marketing"
"0","seeking employment",NA,0,"2","Marketing"
"2","accepted fulltime job",80000,1,"1","Marketing"
"1","accepted fulltime job",54000,1,"1","Management and Leadership"
"1","accepted fulltime job",62000,1,"2","Supply Chain & Operations Mgmt"
"3","accepted fulltime job",63000,1,"2","Accountancy"
"0","accepted fulltime job",70000,1,"2","Finance"
"2","accepted fulltime job",50000,1,"3","Business Economics"
"2","accepted fulltime job",70000,1,"2","Supply Chain & Operations Mgmt"
"2","accepted fulltime job",62000,1,"2","Finance"
"3","accepted fulltime job",60000,1,"3","Supply Chain & Operations Mgmt"
NA,"accepted fulltime job",58000,1,"2","Supply Chain & Operations Mgmt"
"2","accepted fulltime job",60000,1,"2","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",60000,1,"1","Information Systems"
"1","seeking employment",NA,1,"2","Marketing"
"0","seeking employment",NA,0,"1","Finance"
"4","accepted fulltime job",75000,1,"2","Supply Chain & Operations Mgmt"
"5","accepted fulltime job",55000,1,"1","Marketing"
"1","accepted fulltime job",60000,1,"1","Finance"
"1","accepted fulltime job",58000,1,"1","Marketing"
"1","accepted fulltime job",63000,1,"3","Accountancy"
NA,"accepted fulltime job",68000,1,"2","Finance"
"1","accepted fulltime job",52000,1,"0","Accountancy"
"1","accepted fulltime job",62000,1,"2","Human Capital Mgmt& Leadership"
"1","accepted fulltime job",82000,1,"3","Information Systems"
"1","accepted fulltime job",48670,1,"4","Finance"
"2","accepted fulltime job",66000,1,"1","Information Systems"
"1","accepted fulltime job",50128,1,"1","Human Capital Mgmt& Leadership"
"1","accepted fulltime job",65000,1,"3","Accountancy"
"2","accepted fulltime job",30160,1,"2","Management and Leadership"
"2","accepted fulltime job",55000,1,"0","Finance"
NA,"military service",NA,0,"0","Business Economics"
"0","seeking employment",NA,0,"0","Information Systems"
"1","accepted fulltime job",82000,1,"2","Business Analytics"
NA,"accepted fulltime job",NA,1,"3","Human Capital Mgmt& Leadership"
NA,"seeking continuing education",NA,0,"0","Finance"
"2","accepted fulltime job",55000,1,"4","Marketing"
NA,"seeking employment",NA,0,"1","Marketing"
NA,"accepted fulltime job",62000,1,"2","Accountancy"
"3","accepted fulltime job",73000,1,"2","Finance"
"1","accepted fulltime job",62000,1,"1","Accountancy"
"0","seeking employment",NA,0,"4","Marketing"
"2","accepted fulltime job",63000,1,"2","Business Analytics"
"1","accepted fulltime job",74000,1,"2","Supply Chain & Operations Mgmt"
"0","accepted parttime job",NA,0,"0","Human Capital Mgmt& Leadership"
NA,"seeking employment",NA,0,"0","Marketing"
"3","accepted fulltime job",80000,1,"1","Finance"
"1","accepted fulltime job",68000,1,"1","Information Systems"
"3","accepted fulltime job",54000,1,"1","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",53000,1,"2","Accountancy"
"0","seeking employment",NA,0,"3","Human Capital Mgmt& Leadership"
NA,"continuing education",NA,0,"1","Accountancy"
NA,"accepted fulltime job",NA,1,"2","Finance"
"3","seeking employment",NA,1,"0","Marketing"
"1","accepted fulltime job",50000,1,"2","Marketing"
"1","accepted fulltime job",70000,1,"4","Information Systems"
"1","accepted fulltime job",70000,1,"2","Finance"
"2","other",NA,1,"1","Marketing"
"1","accepted fulltime job",60000,1,"2","Accountancy"
NA,"accepted fulltime job",50000,1,"3","Marketing"
"1","accepted fulltime job",50000,1,"2","Marketing"
"4","accepted fulltime job",62500,1,"1","Business Economics"
"1","accepted parttime job",NA,1,"4","Marketing"
"1","accepted fulltime job",NA,1,"1","Management and Leadership"
"1","accepted fulltime job",40000,1,"1","Finance"
"1","accepted fulltime job",65000,1,"1","Marketing"
"1","accepted fulltime job",52000,1,"2","Accountancy"
"0","continuing education",NA,0,"1","Finance"
NA,"accepted fulltime job",NA,1,"0","Finance"
"0","continuing education",NA,0,"1","Accountancy"
NA,"accepted parttime job",80000,0,"0","Finance"
"4","accepted fulltime job",41600,1,"0","Supply Chain & Operations Mgmt"
NA,"accepted fulltime job",70000,1,"2","Marketing"
"0","seeking employment",NA,0,"2","Finance"
NA,"seeking employment",NA,0,"0","Finance"
"2","accepted fulltime job",52000,1,"3","Finance"
"5","accepted fulltime job",70000,1,"1","Finance"
"1","accepted fulltime job",52500,1,"1","Supply Chain & Operations Mgmt"
"0","accepted fulltime job",NA,1,"2","Human Capital Mgmt& Leadership"
"1","accepted fulltime job",53500,1,"1","Accountancy"
"1","accepted fulltime job",38000,1,"2","Marketing"
"2","accepted fulltime job",NA,1,"2","Marketing"
"1","accepted fulltime job",55000,1,"3","Business Economics"
"1","accepted fulltime job",57000,1,"3","Accountancy"
"2","accepted fulltime job",60000,1,"2","Accountancy"
"1","accepted fulltime job",55000,1,"1","Finance"
"2","accepted fulltime job",70000,1,"2","Finance"
"1","accepted fulltime job",58000,1,"1","Information Systems"
"0","continuing education",NA,0,"2","Accountancy"
"1","accepted fulltime job",53000,1,"1","Accountancy"
"0","seeking employment",NA,0,"2","Finance"
"3","accepted fulltime job",44000,1,"1","Finance"
"2","accepted fulltime job",NA,1,"3","Finance"
"0","seeking employment",NA,0,"1","Marketing"
"3","accepted fulltime job",51000,1,"1","Accountancy"
"1","accepted fulltime job",NA,1,"2","Marketing"
"2","accepted fulltime job",60000,1,"0","Accountancy"
"1","accepted fulltime job",54000,1,"2","Accountancy"
"2","accepted fulltime job",54900,1,"2","Supply Chain & Operations Mgmt"
NA,"accepted fulltime job",NA,1,"2","Marketing"
"0","seeking employment",NA,0,"3","Marketing"
"0","not seeking employment",NA,0,"2","Management and Leadership"
"1","accepted fulltime job",58000,1,"2","Marketing"
"1","accepted fulltime job",60000,1,"1","Accountancy"
"1","accepted fulltime job",44000,1,"0","Marketing"
"3","accepted fulltime job",61000,1,"2","Finance"
"1","accepted fulltime job",56000,1,"2","Accountancy"
"3","accepted fulltime job",45000,1,"1","Marketing"
NA,"continuing education",NA,0,"2","Interdisciplinary Bus Managemt"
"2","accepted fulltime job",46000,1,"1","Accountancy"
"3","accepted fulltime job",60000,1,"2","Marketing"
"2","accepted fulltime job",40000,1,"2","Marketing"
"2","accepted fulltime job",NA,1,"2","Accountancy"
"1","accepted fulltime job",55000,1,"1","Supply Chain & Operations Mgmt"
NA,"accepted fulltime job",71000,1,"0","Accountancy"
"1","accepted fulltime job",55000,1,"2","Business Economics"
"2","accepted fulltime job",70000,1,"2","Finance"
"2","accepted fulltime job",56500,1,"2","Management and Leadership"
"3","accepted fulltime job",65000,1,"1","Finance"
"0","continuing education",NA,0,"2","Human Capital Mgmt& Leadership"
"2","seeking employment",NA,1,"3","Finance"
"0","accepted fulltime job",58000,1,"2","Business Economics"
"0","seeking employment",NA,0,"1","Accountancy"
NA,"accepted fulltime job",60000,1,"0","Finance"
"1","accepted fulltime job",40000,1,"1","Finance"
"3","accepted fulltime job",56000,1,"2","Marketing"
"2","accepted fulltime job",77500,1,"2","Business Analytics"
"4","accepted fulltime job",85000,1,"1","Accountancy"
"2","accepted fulltime job",53000,1,"2","Finance"
"1","accepted fulltime job",75000,1,"3","Finance"
"1","accepted fulltime job",68000,1,"2","Management and Leadership"
"3","accepted fulltime job",62000,1,"2","Marketing"
"0","accepted fulltime job",NA,1,"1","Marketing"
"2","accepted fulltime job",60000,1,"3","Accountancy"
"2","seeking employment",NA,1,"2","Finance"
"0","seeking employment",NA,0,"2","Business Economics"
"1","accepted fulltime job",37000,1,"1","Marketing"
"1","accepted fulltime job",53000,1,"2","Finance"
"0","continuing education",NA,0,"0","Accountancy"
"2","accepted fulltime job",60000,1,"1","Marketing"
"3","accepted fulltime job",64000,1,"1","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",62500,1,"3","Marketing"
NA,"accepted fulltime job",NA,1,"3","Marketing"
"1","accepted fulltime job",65000,1,"1","Marketing"
"0","seeking employment",NA,0,"1","Finance"
"0","accepted fulltime job",NA,1,"2","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",65000,1,"2","Finance"
"2","accepted fulltime job",28000,1,"0","Finance"
"4","accepted fulltime job",62000,1,"3","Finance"
"1","accepted fulltime job",62000,1,"2","Accountancy"
"2","accepted fulltime job",45000,1,"2","Marketing"
"4","accepted fulltime job",60000,1,"1","Accountancy"
"1","accepted fulltime job",61000,1,"2","Finance"
"1","accepted fulltime job",60000,1,"3","Finance"
"2","accepted fulltime job",50000,1,"0","Information Systems"
"1","accepted fulltime job",39000,1,"1","Marketing"
"1","accepted fulltime job",54000,1,"1","Finance"
"1","accepted fulltime job",67000,1,"1","Human Capital Mgmt& Leadership"
"1","accepted fulltime job",55000,1,"2","Finance"
"1","accepted fulltime job",62500,1,"2","Finance"
"2","accepted fulltime job",70000,1,"3","Finance"
NA,"continuing education",NA,0,"0","Marketing"
NA,"seeking employment",NA,0,"1","Finance"
"0","seeking employment",NA,0,"2","Supply Chain & Operations Mgmt"
NA,"accepted fulltime job",NA,1,"3","Information Systems"
"0","continuing education",NA,0,"2","Finance"
"0","seeking continuing education",NA,0,"1","Accountancy"
"1","accepted fulltime job",60000,1,"3","Finance"
NA,"accepted fulltime job",NA,1,"2","Finance"
"1","accepted fulltime job",70000,1,"1","Business Economics"
"0","seeking employment",NA,0,"1","Interdisciplinary Bus Managemt"
"2","accepted fulltime job",45000,1,"2","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",42000,1,"2","Finance"
NA,"seeking employment",NA,0,"0","Business Economics"
"3","accepted fulltime job",51000,1,"2","Accountancy"
"6","accepted fulltime job",56000,1,"3","Marketing"
"1","accepted fulltime job",60000,1,"1","Accountancy"
"2","accepted fulltime job",45000,1,"0","Marketing"
"1","accepted fulltime job",40000,1,"1","Marketing"
"1","accepted fulltime job",65000,1,"1","Accountancy"
"1","accepted fulltime job",52250,1,"1","Accountancy"
"1","accepted fulltime job",60000,1,"2","Accountancy"
"3","accepted fulltime job",55000,1,"3","Accountancy"
NA,"accepted fulltime job",38000,1,"3","Marketing"
"0","accepted fulltime job",NA,1,"1","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",54000,1,"3","Human Capital Mgmt& Leadership"
"3","seeking employment",NA,1,"2","Management and Leadership"
"1","accepted fulltime job",68000,1,"1","Accountancy"
"0","other",NA,0,"1","Supply Chain & Operations Mgmt"
"2","accepted fulltime job",28000,1,"2","Finance"
"1","accepted fulltime job",60000,1,"1","Accountancy"
"2","seeking employment",NA,1,"0","Marketing"
"1","accepted fulltime job",60000,1,"1","Accountancy"
"0","accepted fulltime job",NA,1,"3","Marketing"
NA,"seeking employment",NA,0,"0","Marketing"
"2","accepted fulltime job",NA,1,"0","Marketing"
"0","seeking employment",NA,0,"3","Finance"
NA,"accepted fulltime job",40000,1,"0","Marketing"
"2","accepted fulltime job",50000,1,"2","Marketing"
NA,"continuing education",NA,0,"0","Business Economics"
"1","seeking employment",NA,1,"1","Supply Chain & Operations Mgmt"
"2","accepted fulltime job",65000,1,"1","Finance"
"3","accepted fulltime job",55000,1,"1","Accountancy"
"2","accepted fulltime job",50000,1,"1","Finance"
"0","seeking employment",NA,0,"1","Management and Leadership"
"1","accepted fulltime job",40000,1,"1","Human Capital Mgmt& Leadership"
"0","continuing education",NA,0,"3","Marketing"
"1","accepted fulltime job",56000,1,"3","Accountancy"
"3","accepted fulltime job",43000,1,"1","Marketing"
NA,"accepted fulltime job",52500,1,"0","Information Systems"
"1","accepted fulltime job",60000,1,"1","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",NA,1,"3","Business Analytics"
"1","accepted fulltime job",60000,1,"2","Marketing"
"0","accepted parttime job",NA,0,"1","Marketing"
"2","accepted fulltime job",43000,1,"2","Supply Chain & Operations Mgmt"
NA,"accepted fulltime job",NA,1,"3","Marketing"
"1","accepted fulltime job",68000,1,"3","Accountancy"
"1","accepted fulltime job",63000,1,"3","Information Systems"
"1","accepted fulltime job",80000,1,"2","Finance"
"2","seeking employment",NA,1,"2","Entrepreneurship"
NA,"accepted fulltime job",NA,1,"2","Finance"
"2","accepted fulltime job",55000,1,"1","Business Economics"
NA,"accepted fulltime job",NA,1,"1","Management and Leadership"
"1","accepted fulltime job",62000,1,"1","Accountancy"
NA,"accepted fulltime job",85000,1,"1","Accountancy"
"1","accepted fulltime job",NA,1,"3","Marketing"
"3","accepted fulltime job",45000,1,"2","Marketing"
"2","accepted fulltime job",65000,1,"2","Supply Chain & Operations Mgmt"
"1","military service",NA,1,"0","Supply Chain & Operations Mgmt"
"2","accepted fulltime job",60000,1,"2","Finance"
"0","seeking employment",NA,0,"1","Accountancy"
NA,"accepted fulltime job",57000,1,"0","Finance"
"1","accepted fulltime job",56000,1,"1","Marketing"
"1","accepted fulltime job",52000,1,"1","Human Capital Mgmt& Leadership"
"1","accepted fulltime job",55000,1,"1","Marketing"
"1","accepted fulltime job",65000,1,"1","Information Systems"
"3","accepted fulltime job",67000,1,"1","Accountancy"
"2","accepted fulltime job",75000,1,"2","Finance"
"0","seeking employment",NA,0,"0","Finance"
"3","accepted fulltime job",60000,1,"2","Business Economics"
NA,"accepted fulltime job",NA,1,"0","Business Economics"
"1","accepted fulltime job",60000,1,"2","Business Analytics"
"1","accepted fulltime job",72000,1,"1","Accountancy"
"1","accepted fulltime job",58000,1,"3","Human Capital Mgmt& Leadership"
"1","accepted fulltime job",60500,1,"1","Accountancy"
NA,"seeking employment",NA,0,"1","Business Economics"
"1","accepted fulltime job",40000,1,"2","Marketing"
"1","accepted fulltime job",51000,1,"3","Accountancy"
"2","accepted fulltime job",54000,1,"1","Accountancy"
"1","accepted fulltime job",60000,1,"3","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",55000,1,"2","Marketing"
"1","accepted fulltime job",73000,1,"2","Marketing"
"2","accepted fulltime job",32500,1,"2","Marketing"
"1","accepted fulltime job",40000,1,"1","Finance"
"1","accepted fulltime job",55000,1,"3","Marketing"
"1","accepted fulltime job",60000,1,"2","Accountancy"
"0","seeking employment",NA,0,"1","Finance"
"1","accepted fulltime job",84480,1,"3","Marketing"
"1","accepted fulltime job",63000,1,"2","Finance"
"2","accepted fulltime job",80000,1,"1","Marketing"
"0","seeking employment",NA,0,"3","Marketing"
"1","accepted fulltime job",57000,1,"1","Information Systems"
"1","accepted fulltime job",58000,1,"2","Finance"
"2","accepted fulltime job",45000,1,"0","Marketing"
"0","seeking employment",NA,0,"0","Finance"
"0","continuing education",NA,0,"1","Accountancy"
"1","accepted fulltime job",45000,1,"2","Finance"
"1","accepted fulltime job",80000,1,"1","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",70000,1,"1","Finance"
"1","accepted fulltime job",NA,1,"2","Marketing"
"1","accepted fulltime job",50128,1,"1","Marketing"
"0","seeking employment",NA,0,"0","Finance"
"0","seeking continuing education",NA,0,"0","Management and Leadership"
"0","seeking employment",NA,0,"1","Information Systems"
"1","accepted fulltime job",56000,1,"3","Accountancy"
"1","accepted fulltime job",55000,1,"2","Finance"
NA,"accepted fulltime job",NA,1,"3","Marketing"
"3","accepted fulltime job",50000,1,"1","Finance"
"0","seeking employment",NA,0,"3","Management and Leadership"
"7","accepted fulltime job",62500,1,"2","Finance"
"0","continuing education",NA,0,"1","Marketing"
"4","accepted fulltime job",54000,1,"2","Marketing"
"1","accepted fulltime job",50000,1,"1","Finance"
"2","accepted fulltime job",52000,1,"2","Marketing"
"2","accepted fulltime job",55000,1,"3","Accountancy"
"1","accepted fulltime job",56000,1,"0","Accountancy"
"2","accepted fulltime job",50000,1,"3","Marketing"
"3","accepted fulltime job",64000,1,"3","Finance"
"2","accepted fulltime job",80000,1,"4","Finance"
"1","accepted fulltime job",85000,1,"2","Finance"
NA,"accepted fulltime job",42000,1,"0","Supply Chain & Operations Mgmt"
"2","accepted fulltime job",65500,1,"2","Information Systems"
"1","accepted fulltime job",56000,1,"0","Accountancy"
"1","accepted fulltime job",52000,1,"3","Accountancy"
"2","accepted fulltime job",55000,1,"1","Finance"
"3","accepted fulltime job",60000,1,"2","Business Economics"
"1","accepted fulltime job",35000,1,"2","Marketing"
"1","accepted fulltime job",55760,1,"1","Finance"
"1","accepted fulltime job",42000,1,"1","Marketing"
"1","accepted fulltime job",41600,1,"1","Marketing"
"3","accepted fulltime job",62500,1,"2","Accountancy"
"2","accepted fulltime job",61000,1,"1","Finance"
NA,"seeking continuing education",NA,0,"0","Management and Leadership"
"1","accepted fulltime job",65000,1,"1","Finance"
"1","accepted fulltime job",43000,1,"2","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",54000,1,"3","Accountancy"
"2","accepted fulltime job",60000,1,"1","Marketing"
"3","accepted fulltime job",55000,1,"0","Finance"
"1","accepted fulltime job",57500,1,"1","Accountancy"
"0","accepted fulltime job",NA,1,"2","Marketing"
"1","accepted parttime job",65000,1,"3","Finance"
"0","seeking employment",NA,0,"1","Finance"
"1","accepted fulltime job",42500,1,"0","Management and Leadership"
"2","accepted fulltime job",70000,1,"4","Business Analytics"
"1","accepted fulltime job",37000,1,"1","Finance"
"0","continuing education",NA,0,"0","Supply Chain & Operations Mgmt"
"0","continuing education",NA,0,"0","Marketing"
"0","not seeking employment",NA,0,"2","Marketing"
"0","continuing education",NA,0,"0","Marketing"
"2","accepted fulltime job",65000,1,"2","Finance"
"1","accepted fulltime job",55000,1,"1","Finance"
"2","accepted fulltime job",55000,1,"1","Supply Chain & Operations Mgmt"
"0","seeking continuing education",NA,0,"2","Business Economics"
"1","accepted fulltime job",75000,1,"1","Supply Chain & Operations Mgmt"
"1","accepted fulltime job",51000,1,"2","Accountancy"
"1","accepted fulltime job",56000,1,"1","Accountancy"
"2","accepted fulltime job",52000,1,"1","Accountancy"
"1","accepted fulltime job",72000,1,"2","Human Capital Mgmt& Leadership"
"4","accepted fulltime job",71500,1,"2","Finance"
"2","accepted fulltime job",40000,1,"1","Marketing"
"1","accepted fulltime job",75000,1,"1","Finance"
NA,"continuing education",NA,0,"0","Marketing"
NA,"seeking employment",NA,0,"1","Finance"
"1","seeking employment",NA,1,"2","Marketing"
